id,nameChinese,nameEnglish,nameGerman,meridian,element,location,depth,frequency,harmonicFrequencies,pointTypes,functions,indications,precautions,chakraCorrespondence
ST5,Daying,Great Welcome,Großer Empfang,ST,earth,"Am Vorderrand des M. masseter, in der Vertiefung vor dem Unterkieferwinkel",0.3-0.5 cun,268.8,537.6; 806.4; 1075.2; 1344,regular,Zerstreut Wind; Lindert Schwellung,Zahnschmerzen; Kiefergelenksprobleme; Gesichtslähmung,,
ST6,Jiache,Jaw Bone,Kieferknochen,ST,earth,"Einen Fingerbreit vor und oberhalb des Kieferwinkels, am höchsten Punkt des M. masseter",0.3-0.5 cun,272,544; 816; 1088; 1360,regular,Zerstreut Wind; Aktiviert Kollateralen,Zahnschmerzen; Kiefergelenksprobleme; Gesichtslähmung; Parotitis,,
ST7,Xiaguan,Below the Joint,Unter dem Gelenk,ST,earth,"In der Vertiefung unter dem Jochbeinbogen, vor dem Kiefergelenk",0.5-1 cun,275.2,550.4; 825.6; 1100.8; 1376,regular,Zerstreut Wind; Aktiviert Kollateralen; Lindert Schmerzen,Kiefergelenksprobleme; Tinnitus; Schwerhörigkeit; Zahnschmerzen,,
ST8,Touwei,Head Corner,Kopfecke,ST,earth,"0.5 cun hinter dem Haaransatz, am Stirneck",0.5-1 cun schräg,278.4,556.8; 835.2; 1113.6; 1392,regular,Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Migräne; Verschwommenes Sehen,,
ST25,Tianshu,Celestial Pivot,Himmelsscharnier,ST,earth,2 cun lateral des Nabels,1-1.5 cun,320,640; 960; 1280; 1600,mu_front,Reguliert Magen-Darm; Lindert Stagnation; Tonisiert Milz,Bauchschmerzen; Durchfall; Verstopfung; Dysmenorrhoe,,manipura
ST36,Zusanli,Leg Three Miles,Drei Meilen des Beins,ST,earth,"3 cun unter ST35, 1 Fingerbreit lateral der Tibiakante",1-2 cun,341.3,682.6; 1023.9; 1365.2; 1706.5,he_sea,Stärkt Milz und Magen; Tonisiert Qi und Blut; Stärkt Abwehr,Magenprobleme; Erschöpfung; Immunschwäche; Knieschmerzen,,manipura
ST40,Fenglong,Abundant Bulge,Üppige Erhebung,ST,earth,"8 cun über dem Außenknöchel, 2 Fingerbreit lateral der Tibiakante",1-1.5 cun,307.2,614.4; 921.6; 1228.8; 1536,luo_connecting,Transformiert Schleim; Beruhigt Geist; Klärt Hitze,Husten mit Schleim; Schwindel; Epilepsie; Beinschwellung,,
ST44,Neiting,Inner Court,Innerer Hof,ST,earth,"Zwischen 2. und 3. Zehe, proximal des Schwimmhautrand",0.3-0.5 cun,358.4,716.8; 1075.2; 1433.6; 1792,ying_spring,Klärt Magen-Hitze; Lindert Schmerzen,Zahnschmerzen; Gesichtsschmerzen; Gastritis; Fußschmerzen,,
ST45,Lidui,Severe Mouth,Strenger Mund,ST,earth,"Am 2. Zeh, 0.1 cun lateral des Nagelwinkels",0.1 cun oder Blutenlassen,384,768; 1152; 1536; 1920,jing_well,Klärt Hitze; Beruhigt Geist,Gesichtsschwellung; Alpträume; Manie,,
SP1,Yinbai,Hidden White,Verborgenes Weiß,SP,earth,"Am großen Zeh, 0.1 cun proximal des medialen Nagelwinkels",0.1 cun oder Blutenlassen,256,512; 768; 1024; 1280,jing_well,Stärkt Milz; Stoppt Blutungen; Beruhigt Geist,Menorrhagie; Uterusblutung; Schlaflosigkeit; Alpträume,,muladhara
SP2,Dadu,Great Metropolis,Große Stadt,SP,earth,"Medial am großen Zeh, distal des 1. MTP-Gelenks",0.3-0.5 cun,262.4,524.8; 787.2; 1049.6; 1312,ying_spring,Klärt Milz-Hitze; Reguliert Qi,Bauchschmerzen; Blähungen; Fieber ohne Schwitzen,,
SP3,Taibai,Supreme White,Höchstes Weiß,SP,earth,"Medial am Fuß, proximal des 1. MTP-Gelenks",0.5-1 cun,272,544; 816; 1088; 1360,shu_stream; yuan_source,Stärkt Milz; Löst Feuchtigkeit; Harmonisiert Magen,Bauchschmerzen; Durchfall; Schwere der Glieder; Fußschmerzen,,manipura
SP4,Gongsun,Yellow Emperor,Gelber Kaiser,SP,earth,"Medial am Fuß, in der Vertiefung distal der Basis des 1. Metatarsale",0.5-1 cun,288,576; 864; 1152; 1440,luo_connecting; confluent,Stärkt Milz; Reguliert Chong Mai; Harmonisiert Magen,Magenschmerzen; Übelkeit; Dysmenorrhoe; Herzschmerzen,,manipura
SP5,Shangqiu,Shang Mound,Shang-Hügel,SP,earth,In der Vertiefung vor und unter dem medialen Malleolus,0.3-0.5 cun,298.7,597.4; 896.1; 1194.8; 1493.5,jing_river,Stärkt Milz; Löst Feuchtigkeit,Knöchelschwellung; Bauchschmerzen; Verstopfung,,
SP6,Sanyinjiao,Three Yin Intersection,Treffpunkt der drei Yin,SP,earth,"3 cun über dem medialen Malleolus, am Hinterrand der Tibia",1-1.5 cun,307.2,614.4; 921.6; 1228.8; 1536,regular,Stärkt Milz; Nährt Leber und Nieren; Reguliert Menstruation,Gynäkologische Beschwerden; Verdauungsprobleme; Schlaflosigkeit; Schmerzen,Kontraindiziert in der Schwangerschaft,svadhisthana
SP7,Lougu,Leaking Valley,Leckendes Tal,SP,earth,6 cun über dem medialen Malleolus,1-1.5 cun,312,624; 936; 1248; 1560,regular,Löst Feuchtigkeit; Reguliert Wasserwege,Bauchblähung; Ödeme; Knieschmerzen,,
SP8,Diji,Earth Pivot,Erd-Drehpunkt,SP,earth,"3 cun unter SP9, am Hinterrand der Tibia",1-1.5 cun,316.8,633.6; 950.4; 1267.2; 1584,xi_cleft,Reguliert Menstruation; Löst Blut-Stase,Dysmenorrhoe; Bauchschmerzen; Ödeme,,
SP9,Yinlingquan,Yin Mound Spring,Yin-Hügel-Quelle,SP,earth,In der Vertiefung unter dem medialen Tibiakondylus,1-2 cun,326.4,652.8; 979.2; 1305.6; 1632,he_sea,Löst Feuchtigkeit; Öffnet Wasserwege; Stärkt Milz,Ödeme; Harnprobleme; Knieschmerzen; Durchfall,,manipura
SP10,Xuehai,Sea of Blood,Meer des Blutes,SP,earth,2 cun über dem medialen Patellarand,1-1.5 cun,332.8,665.6; 998.4; 1331.2; 1664,regular,Belebt Blut; Kühlt Blut; Reguliert Menstruation,Hauterkrankungen; Menstruationsstörungen; Knieschmerzen,,anahata
SP11,Jimen,Winnowing Gate,Worfelndes Tor,SP,earth,"6 cun über SP10, am medialen Oberschenkel",0.5-1 cun,339.2,678.4; 1017.6; 1356.8; 1696,regular,Reguliert Wasserwege,Harnverhalt; Leistenschmerzen,,
SP12,Chongmen,Rushing Gate,Drängendes Tor,SP,earth,"3.5 cun lateral der vorderen Mittellinie, am oberen Rand des Schambeins",0.5-1 cun,345.6,691.2; 1036.8; 1382.4; 1728,regular,Reguliert Qi; Lindert Schmerzen,Leistenschmerzen; Hernie,,
SP13,Fushe,Bowel Abode,Darmwohnung,SP,earth,"4 cun lateral des Nabels, 0.7 cun über SP12",1-1.5 cun,352,704; 1056; 1408; 1760,regular,Reguliert Darm-Qi,Bauchschmerzen; Hernie,,
SP14,Fujie,Abdomen Bind,Bauchband,SP,earth,"4 cun lateral des Nabels, 1.3 cun unter SP15",1-1.5 cun,358.4,716.8; 1075.2; 1433.6; 1792,regular,Reguliert Darm-Qi,Bauchschmerzen; Durchfall; Verstopfung,,
SP15,Daheng,Great Horizontal,Große Horizontale,SP,earth,4 cun lateral des Nabels,1-2 cun,364.8,729.6; 1094.4; 1459.2; 1824,regular,Stärkt Milz; Reguliert Darm-Qi,Bauchschmerzen; Durchfall; Verstopfung; Erschöpfung,,
SP16,Fuai,Abdomen Sorrow,Bauchkummer,SP,earth,"3 cun über dem Nabel, 4 cun lateral der Mittellinie",1-1.5 cun,371.2,742.4; 1113.6; 1484.8; 1856,regular,Reguliert Darm-Qi,Bauchschmerzen; Verdauungsstörungen,,
SP17,Shidou,Food Hole,Speisenhöhle,SP,earth,"Im 5. ICR, 6 cun lateral der vorderen Mittellinie",0.5-0.8 cun schräg,377.6,755.2; 1132.8; 1510.4; 1888,regular,Reguliert Qi im Brustkorb,Brustschmerzen; Rippenschmerzen,Nicht tief stechen - Pneumothorax-Risiko,
SP18,Tianxi,Celestial Ravine,Himmlische Schlucht,SP,earth,"Im 4. ICR, 6 cun lateral der vorderen Mittellinie",0.5-0.8 cun schräg,384,768; 1152; 1536; 1920,regular,Reguliert Lungen-Qi; Fördert Laktation,Brustschmerzen; Husten; Mastitis,Nicht tief stechen,
SP19,Xiongxiang,Chest Village,Brustdorf,SP,earth,"Im 3. ICR, 6 cun lateral der vorderen Mittellinie",0.5-0.8 cun schräg,390.4,780.8; 1171.2; 1561.6; 1952,regular,Reguliert Qi im Brustkorb,Brustschmerzen; Rippenschmerzen,Nicht tief stechen,
SP20,Zhourong,Encircling Glory,Umgebender Glanz,SP,earth,"Im 2. ICR, 6 cun lateral der vorderen Mittellinie",0.5-0.8 cun schräg,396.8,793.6; 1190.4; 1587.2; 1984,regular,Reguliert Qi; Lindert Husten,Husten; Atemnot; Rippenschmerzen,Nicht tief stechen,
SP21,Dabao,Great Embracement,Große Umarmung,SP,earth,"Auf der mittleren Axillarlinie, im 6. ICR",0.5-0.8 cun schräg,403.2,806.4; 1209.6; 1612.8; 2016,luo_connecting,Reguliert Qi und Blut im ganzen Körper,Ganzkörperschmerzen; Schwäche der Extremitäten; Rippenschmerzen,Nicht tief stechen,anahata
HT1,Jiquan,Highest Spring,Höchste Quelle,HT,fire,"In der Achselhöhle, medial der A. axillaris",0.5-1 cun,341.3,682.6; 1023.9; 1365.2; 1706.5,regular,Reguliert Herz-Qi; Öffnet Brust; Belebt Arme,Herzschmerzen; Armschmerzen; Depression; Schulterschmerzen,Vorsicht - A. axillaris,anahata
HT2,Qingling,Cyan Spirit,Blaugrüner Geist,HT,fire,"3 cun über dem medialen Epikondylus, in der Furche des M. biceps",0.5-1 cun,349.9,699.8; 1049.7; 1399.6; 1749.5,regular,Reguliert Herz-Qi,Herzschmerzen; Schulterschmerzen; Rippenschmerzen,,
HT3,Shaohai,Lesser Sea,Kleines Meer,HT,fire,"Bei gebeugtem Ellenbogen, zwischen medialem Epikondylus und Ulnarer Flexorensehne",0.5-1 cun,358.4,716.8; 1075.2; 1433.6; 1792,he_sea,Beruhigt Herz; Transformiert Schleim; Aktiviert Kanal,Herzschmerzen; Ellenbogenschmerzen; Angst; Gedächtnisprobleme,,anahata
HT4,Lingdao,Spirit Pathway,Geistespfad,HT,fire,"1.5 cun proximal der Handgelenksfalte, radial der Sehne des M. flexor carpi ulnaris",0.3-0.5 cun,367,734; 1101; 1468; 1835,jing_river,Beruhigt Herz; Reguliert Qi,Herzschmerzen; Stimmverlust; Handgelenkschmerzen,,
HT5,Tongli,Connecting Li,Verbindung zum Inneren,HT,fire,"1 cun proximal der Handgelenksfalte, radial der Sehne des M. flexor carpi ulnaris",0.3-0.5 cun,375.5,751; 1126.5; 1502; 1877.5,luo_connecting,Beruhigt Herz; Stärkt Zunge; Reguliert Rhythmus,Herzrhythmusstörungen; Sprachstörungen; Handgelenkschmerzen,,vishuddha
HT6,Yinxi,Yin Cleft,Yin-Spalt,HT,fire,"0.5 cun proximal der Handgelenksfalte, radial der Sehne des M. flexor carpi ulnaris",0.3-0.5 cun,384.1,768.2; 1152.3; 1536.4; 1920.5,xi_cleft,Nährt Herz-Yin; Stoppt Nachtschweiß; Beruhigt Geist,Nachtschweiß; Herzschmerzen; Angst; Schlaflosigkeit,,
HT7,Shenmen,Spirit Gate,Tor des Geistes,HT,fire,"In der Handgelenksfalte, ulnar der Sehne des M. flexor carpi ulnaris",0.3-0.5 cun,392.6,785.2; 1177.8; 1570.4; 1963,shu_stream; yuan_source,Beruhigt Herz und Geist; Nährt Herz-Blut; Öffnet Sinne,Schlaflosigkeit; Angst; Depression; Herzrhythmusstörungen; Gedächtnisprobleme,,anahata
HT8,Shaofu,Lesser Mansion,Kleiner Palast,HT,fire,"In der Handfläche, zwischen 4. und 5. Metakarpale, wo der kleine Finger beim Faustschluss zeigt",0.3-0.5 cun,401.2,802.4; 1203.6; 1604.8; 2006,ying_spring,Klärt Herz-Hitze; Beruhigt Geist,Herzklopfen; Brustschmerzen; Juckreiz; Harnbeschwerden,,
HT9,Shaochong,Lesser Rushing,Kleines Drängen,HT,fire,"Am kleinen Finger, 0.1 cun proximal des radialen Nagelwinkels",0.1 cun oder Blutenlassen,409.7,819.4; 1229.1; 1638.8; 2048.5,jing_well,Belebt Bewusstsein; Klärt Hitze; Öffnet Sinne,Bewusstlosigkeit; Fieber; Herzschmerzen; Zungengeschwür,,
SI1,Shaoze,Lesser Marsh,Kleiner Sumpf,SI,fire,"Am kleinen Finger, 0.1 cun proximal des ulnaren Nagelwinkels",0.1 cun oder Blutenlassen,343.5,687; 1030.5; 1374; 1717.5,jing_well,Klärt Hitze; Fördert Laktation; Belebt Bewusstsein,Kopfschmerzen; Fieber; Laktationsprobleme; Konjunktivitis,,
SI2,Qiangu,Front Valley,Vorderes Tal,SI,fire,"Ulnar am kleinen Finger, distal des 5. MCP-Gelenks",0.3-0.5 cun,350.4,700.8; 1051.2; 1401.6; 1752,ying_spring,Klärt Hitze; Fördert Laktation,Fieber; Tinnitus; Kopfschmerzen,,
SI3,Houxi,Back Stream,Hinterer Bach,SI,fire,"Ulnar an der Hand, proximal des 5. MCP-Gelenks, bei geballter Faust",0.5-1 cun,357.3,714.6; 1071.9; 1429.2; 1786.5,shu_stream; confluent,Öffnet Du Mai; Zerstreut Wind; Lindert Nacken und Rücken,Nackensteifigkeit; Kopfschmerzen; Rückenschmerzen; Epilepsie,,vishuddha
SI4,Wangu,Wrist Bone,Handgelenkknochen,SI,fire,"Ulnar am Handgelenk, in der Vertiefung zwischen Os triquetrum und Os pisiforme",0.3-0.5 cun,364.2,728.4; 1092.6; 1456.8; 1821,yuan_source,Klärt Hitze; Aktiviert Kanal,Handgelenkschmerzen; Fieber; Gelbsucht,,
SI5,Yanggu,Yang Valley,Yang-Tal,SI,fire,"Ulnar am Handgelenk, in der Vertiefung zwischen Ulna und Os triquetrum",0.3-0.5 cun,371.1,742.2; 1113.3; 1484.4; 1855.5,jing_river,Klärt Hitze; Lindert Schwellung,Handgelenkschmerzen; Tinnitus; Fieber,,
SI6,Yanglao,Nursing the Aged,Pflege des Alten,SI,fire,"1 cun proximal von SI5, in der Vertiefung radial des Ulnaköpfchens",0.3-0.5 cun,378,756; 1134; 1512; 1890,xi_cleft,Erhellt Augen; Aktiviert Kanal,Sehstörungen; Schulter- und Armschmerzen; Steifer Nacken,,
SI7,Zhizheng,Branch to the Correct,Zweig zum Richtigen,SI,fire,"5 cun proximal von SI5, auf der Verbindung SI5-SI8",0.5-1 cun,384.9,769.8; 1154.7; 1539.6; 1924.5,luo_connecting,Beruhigt Geist; Klärt Hitze,Kopfschmerzen; Nackensteifigkeit; Angst; Manie,,
SI8,Xiaohai,Small Sea,Kleines Meer,SI,fire,"Bei gebeugtem Ellenbogen, in der Vertiefung zwischen Olekranon und medialem Epikondylus",0.5-1 cun,391.8,783.6; 1175.4; 1567.2; 1959,he_sea,Klärt Hitze; Beruhigt Geist; Aktiviert Kanal,Ellenbogenschmerzen; Taubheit des Arms; Epilepsie,,
SI9,Jianzhen,True Shoulder,Wahre Schulter,SI,fire,"1 cun über dem hinteren Achselfaltenende, bei adduziertem Arm",1-1.5 cun,398.7,797.4; 1196.1; 1594.8; 1993.5,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Armlähmung; Tinnitus,,
SI10,Naoshu,Upper Arm Shu,Oberarm-Transportpunkt,SI,fire,"Direkt über SI9, in der Vertiefung unter der Spina scapulae",0.5-1 cun,405.6,811.2; 1216.8; 1622.4; 2028,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Schultersteifigkeit,,
SI11,Tianzong,Celestial Gathering,Himmlische Versammlung,SI,fire,"In der Mitte der Fossa infraspinata, auf der Verbindung SI10-SI13",0.5-1 cun,412.5,825; 1237.5; 1650; 2062.5,regular,Aktiviert Kanal; Lindert Schmerzen; Fördert Laktation,Schulterschmerzen; Armschmerzen; Mastitis,,
SI12,Bingfeng,Grasping the Wind,Wind Ergreifen,SI,fire,"In der Mitte der Fossa supraspinata, über SI11",0.5-1 cun,419.4,838.8; 1258.2; 1677.6; 2097,regular,Zerstreut Wind; Aktiviert Kanal,Schulterschmerzen; Taubheit der Schulter,,
SI13,Quyuan,Crooked Wall,Gekrümmte Mauer,SI,fire,Am medialen Ende der Fossa supraspinata,0.5-1 cun,426.3,852.6; 1278.9; 1705.2; 2131.5,regular,Aktiviert Kanal; Lindert Schmerzen,Schulterschmerzen; Schulterblattschmerzen,,
